Stream,Site,sample.year,season,do.mgl,ph,temp.C,sc.uScm,ac.uScm,alkalinity.mgl,hardness.mgl,tn.mgl,tp.mgl,nh3-n.mgl,no2no3-n.mgl,ortho.po4-p.mgl,npoc.mgl,cl.mgl,so4.mgl,co3.mgl,hco3.mgl,na.mgl,mg.mgl,k.mgl,ca.mgl,li.ugl,al.ugl,ti.ugl,v.ugl,cr.ugl,fe.ugl,mn.ugl,co.ugl,ni.ugl,cu.ugl,zn.ugl,as.ugl,se.ugl,sr.ugl,mo.ugl,ag.ugl,cd.ugl,sn.ugl,ba.ugl,pb.ugl,u.ugl
SPC,SPC2,2021,Fall,8.8,8.09,12.6,516,394,170.9,185.4,0.3,0.04,0.02,0.11,0.02,1.28,5.32,104.72,0,208.55,61.65,16.79,2.3,46.63,24.02,4.43,0.45,0.2,0.14,21.64,39.14,0.12,0.55,0.025,4.14,0.41,2.63,467.98,0.23,0.02,0.02,0.01,76.29,0.002,0.28
SPC,SPC3,2021,Fall,9.1,8.06,12.9,535,412,143.9,232.5,0.23,0.005,0.005,0.11,0.005,1.33,5.84,138.55,0,175.53,41.07,21.47,2.69,57.81,25.6,3.54,0.29,0.07,0.11,10.21,30.93,0.13,0.76,0.05,4.69,0.15,0.99,590.9,0.001,0.001,0.005,0.01,63.95,0.002,0.3
SPC,SPC4,2021,Fall,9.1,7.61,14.2,579,460,145.5,248.6,0.31,0.01,0.02,0.08,0.005,1.35,6.22,160.58,0,177.51,41.85,23.63,2.81,60.66,31.36,4,0.27,0.05,0.07,18.04,87.2,0.18,1.25,0.09,24.94,0.16,0.41,677.38,0.001,0.001,0.005,0.01,63.54,0.002,0.35
SPC,SPC5,2021,Fall,9.3,7.9,15.4,610,499,137.1,276.3,0.25,0.005,0.01,0.12,0.005,1.33,7.09,184.13,0,167.29,40.29,27.08,3.19,66.1,38.73,5.95,0.26,0.06,0.07,13.3,42.75,0.14,1.33,0.17,8.32,0.03,0.85,797.07,0.001,0.001,0.005,0.01,61.49,0.002,0.39
SPC,SPC6,2021,Fall,8.8,7.61,15.2,641,522,,,,,,,,1.43,7.73,201.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC,SPC7,2021,Fall,7.5,7.95,16,709,587,172.7,298.5,0.43,0.005,0.01,0.16,0.005,1.47,7.64,207.56,0,210.74,59.03,29.32,3.24,71.33,46.85,4.72,0.27,0.08,0.11,0.285,29.06,0.12,0.93,0.23,13.86,0.1,1.25,951.59,0.001,0.001,0.005,0.01,70.93,0.002,0.59
SPC,SPC8,2021,Fall,6.9,7.81,15.5,756,620,182,317.8,0.34,0.005,0.04,0.16,0.005,1.5,8.07,227.44,0,221.99,65.7,31.72,3.38,75.08,54.65,4.25,0.31,0.07,0.11,14.8,129.44,0.22,1.46,0.4,16,0.12,1.25,1039.06,0.001,0.001,0.005,0.01,70.31,0.002,0.61
SPC,SPCT2,2021,Fall,5.3,8.12,14.5,222,178,105.2,107.7,0.25,0.02,0.05,0.1,0.005,1.11,2.07,10.74,0,128.34,8.81,6.99,1.69,31.63,0.65,2.52,0.32,0.04,0.11,387.16,164.35,0.22,0.32,0.025,6.49,0.24,0.81,85.79,0.001,0.001,0.005,0.01,50.32,0.002,0.08
SPC,SPCT3,2021,Fall,0.7,7.67,14.2,259,206,152.1,77.1,2.44,0.79,0.16,0.03,0.005,1.48,2.27,4.02,0,185.51,44.24,4.98,1.49,22.68,0.71,1.6,0.36,0.06,0.06,1076.05,851.83,0.77,0.25,0.025,21.4,0.96,0.36,95.83,0.001,0.001,0.005,0.01,81.53,0.002,0.02
SPC,SPCT4,2021,Fall,6.4,7.74,15.1,122,99,41.7,51.4,0.42,0.005,0.005,0.26,0.005,1.19,2.34,8.61,0,50.86,3.13,4.23,2.09,13.6,0.5,5.56,0.27,0.09,0.14,0.285,0.87,0.04,0.005,0.12,35.25,0.001,1.11,83.26,0.001,0.001,0.005,0.01,32.09,0.002,0.02
