Stream,Site,pfines,ppebbles,psmallcobble,plargecobble,LCF,avgwetwidth,avgdepth,avgembedd,avgcancov,avg.slope,D.pca,Rip.pca,Season,do.mgl,temp.C,sc.uScm,hardness.mgl,npoc.mgl,nutrients.pca,elements.pca,PCNM4,PCNM2,PCNM1,PCNM5
EAS (R),EAS3,4.545454545,37.87878788,22.72727273,34.84848485,7.666666667,2.66,4.933333333,15.33333333,85.98666667,5.25,3.72482662,-1.081775757,Fall,8,12.8,21,8.4,0.53,-0.827633056,-3.460206847,,,,
EAS (R),EAS4,6.306306306,45.04504505,27.92792793,20.72072072,3.285714286,1.366666667,1.566666667,15.33333333,80.43,8,0.614802686,-0.895663562,Fall,7.7,13,20,7.9,0.62,-0.603390562,-3.335025274,,,,
EAS (R),EAS5,9.411764706,35.29411765,25.88235294,29.41176471,3.125,1.126666667,3.12,16.66666667,84.49666667,9.5,2.55757818,-0.895663562,Fall,7.4,13,19,7.2,0.64,-0.673480647,-3.298875312,,,,
EAS (R),EAS6,9.85915493,32.3943662,30.98591549,26.76056338,2.714285714,1.6,7.806,16,78.55,12.83,2.648086761,-1.127021173,Fall,8,12.7,18,6.8,0.64,1.458272321,-3.390533946,,,,
EAS (R),EAS7,15.18987342,40.50632911,26.58227848,17.72151899,1.166666667,1.49,4.593333333,14.33333333,78.37666667,14.5,-0.873657266,-0.890533029,Fall,7.8,12.8,16,5.9,0.68,-0.888655028,-3.221644334,,,,
EAS (R),EAS8,16.84210526,28.42105263,27.36842105,27.36842105,1.625,1.533333333,3.106666667,8,84.65666667,14,1.779904712,-1.318263902,Fall,8,12.6,15,5.2,0.67,-0.139773747,-3.105085085,,,,
FRY (L),FRY1,10.34482759,52.5862069,19.82758621,17.24137931,1.666666667,3.13,2.84,10,72.64666667,2.5,-1.488262968,-1.004600927,Fall,8.3,12.6,468,201.1,1.27,0.795817212,-1.052536129,,,,
FRY (L),FRY2,6.18556701,46.39175258,20.6185567,26.80412371,4.333333333,2.15,4.633333333,11.66666667,59.32,4.5,1.962473923,-0.64768655,Fall,8.3,13,480,214.7,1.23,-0.150126551,-0.930953153,,,,
FRY (L),FRY3,5.494505495,51.64835165,29.67032967,13.18681319,2.4,2.146666667,4.266666667,11,61.91666667,5,-0.183866005,-1.130873135,Fall,7.4,13.3,473,213.5,1.18,1.139385805,-0.803414362,,,,
FRY (L),FRY4,4.901960784,54.90196078,26.47058824,13.7254902,2.8,2.716666667,3.833333333,9,72.04666667,4.25,0.051848849,-1.162005522,Fall,8,13.7,490,219.2,1.37,1.247603619,-0.985310455,,,,
FRY (L),FRY5,1.041666667,55.20833333,21.875,21.875,21,1.853333333,9.633333333,7.333333333,84.22333333,5,-0.220689845,0.777119104,Fall,8.3,13.9,509,230.9,1.16,0.598610726,-0.904453958,,,,
FRY (L),FRY6,6.25,60.41666667,20.83333333,12.5,2,3.25,3.586666667,11.33333333,88.24666667,6,-3.27157916,-0.59340787,Fall,7.2,14.2,528,255.7,1.21,1.218772898,-0.847114441,,,,
FRY (L),FRY7,5.714285714,55.23809524,20.95238095,18.0952381,3.166666667,1.85,2.866666667,9.666666667,79.28,5,-0.941755825,-1.187658188,Fall,7.1,14.9,272,99.8,1.15,1.125690461,-2.558733915,,,,
LLW (H),LLW1,5.504587156,50.4587156,23.85321101,20.18348624,3.666666667,2.233333333,5.5,16.66666667,91.6,4,0.527345042,7.840413394,Fall,9.9,12.8,1242,794.8,1.19,0.499010345,4.723626348,,,,
LLW (H),LLW2,7.142857143,41.83673469,26.53061224,24.48979592,3.428571429,2.033333333,5.393333333,15.66666667,91.4,2.75,0.674544476,2.386376702,Fall,9.6,13.4,1259,826.6,1.16,0.36965611,5.135163262,,,,
LLW (H),LLW3,8.910891089,44.55445545,27.72277228,18.81188119,2.111111111,2.266666667,8.54,15,91.32,11.25,0.376033164,1.779491301,Fall,9,13.6,1307,876.1,1.19,-1.352618961,5.692945537,,,,
LLW (H),LLW4,5.263157895,49.12280702,22.80701754,22.80701754,4.333333333,1.566666667,5.28,13,83.4,5.5,0.458943105,1.412214317,Fall,9.2,14.5,1323,882.5,1.1,-0.899565855,5.672836009,,,,
LLW (H),LLW5,5.769230769,71.15384615,12.5,10.57692308,1.833333333,1.8,3.7,13.66666667,87.11666667,6.5,-2.806909276,-1.232903604,Fall,8.9,15,1501,1057.2,1.34,-1.266270802,6.09618145,,,,
