START,END,Season,Stream.x,SIM.j,SIM.b,dis.simm
CRO3,CRO7,Spring,CRO (R),0.966101695,0.82928573,1530
CRO4,CRO3,Spring,CRO (R),0.966101695,0.892795375,370
CRO4,CRO5,Spring,CRO (R),1,0.891844331,385
CRO4,CRO6,Spring,CRO (R),1,0.883802212,820
CRO4,CRO7,Spring,CRO (R),1,0.895466603,1160
CRO5,CRO4,Spring,CRO (R),1,0.891844331,385
CRO5,CRO6,Spring,CRO (R),1,0.907148643,435
CRO5,CRO7,Spring,CRO (R),1,0.851388932,775
CRO6,CRO5,Spring,CRO (R),1,0.907148643,435
CRO6,CRO7,Spring,CRO (R),1,0.873732003,340
CRO7,CRO6,Spring,CRO (R),1,0.873732003,340
EAS1,EAS2,Spring,EAS (R),1,0.872467021,360
EAS1,EAS3,Spring,EAS (R),0.966101695,0.874334844,610
EAS1,EAS4,Spring,EAS (R),0.966101695,0.882446165,935
EAS1,EAS5,Spring,EAS (R),0.966101695,0.918260984,1260
EAS1,EAS6,Spring,EAS (R),0.966101695,0.908698835,1500
EAS1,EAS7,Spring,EAS (R),0.966101695,0.868660578,1785
EAS1,EAS8,Spring,EAS (R),0.966101695,0.8975288,2115
EAS1,EAS9,Spring,EAS (R),0.966101695,0.830939728,2500
EAS2,EAS1,Spring,EAS (R),1,0.872467021,360
EAS2,EAS3,Spring,EAS (R),0.966101695,0.914036945,250
EAS2,EAS4,Spring,EAS (R),0.966101695,0.933077616,575
EAS2,EAS5,Spring,EAS (R),0.966101695,0.910043613,900
EAS2,EAS6,Spring,EAS (R),0.966101695,0.93260169,1140
EAS2,EAS7,Spring,EAS (R),0.966101695,0.87030799,1425
EAS2,EAS8,Spring,EAS (R),0.966101695,0.865729493,1755
EAS2,EAS9,Spring,EAS (R),0.966101695,0.782442303,2140
EAS3,EAS2,Spring,EAS (R),0.966101695,0.914036945,250
EAS3,EAS4,Spring,EAS (R),1,0.892338399,325
EAS3,EAS5,Spring,EAS (R),1,0.898087841,650
EAS3,EAS6,Spring,EAS (R),1,0.907738033,890
EAS3,EAS7,Spring,EAS (R),1,0.825719712,1175
EAS3,EAS8,Spring,EAS (R),1,0.832706794,1505
EAS3,EAS9,Spring,EAS (R),1,0.753708955,1890
EAS4,EAS3,Spring,EAS (R),1,0.892338399,325
EAS4,EAS5,Spring,EAS (R),1,0.945342564,325
EAS4,EAS6,Spring,EAS (R),1,0.94727652,565
EAS4,EAS7,Spring,EAS (R),1,0.874392387,850
EAS4,EAS8,Spring,EAS (R),1,0.878164151,1180
EAS4,EAS9,Spring,EAS (R),1,0.806510615,1565
EAS5,EAS4,Spring,EAS (R),1,0.945342564,325
EAS5,EAS6,Spring,EAS (R),1,0.952711295,240
EAS5,EAS7,Spring,EAS (R),1,0.867940872,525
EAS5,EAS8,Spring,EAS (R),1,0.884009462,855
EAS5,EAS9,Spring,EAS (R),1,0.8226886,1240
EAS6,EAS5,Spring,EAS (R),1,0.952711295,240
EAS6,EAS7,Spring,EAS (R),1,0.880670674,285
EAS6,EAS8,Spring,EAS (R),1,0.888098644,615
EAS6,EAS9,Spring,EAS (R),1,0.801210324,0
EAS7,EAS6,Spring,EAS (R),1,0.880670674,285
EAS7,EAS8,Spring,EAS (R),1,0.938286853,330
EAS7,EAS9,Spring,EAS (R),1,0.872982631,715
EAS8,EAS7,Spring,EAS (R),1,0.938286853,330
EAS8,EAS9,Spring,EAS (R),1,0.870058448,385
EAS9,EAS8,Spring,EAS (R),1,0.870058448,385
FRY1,FRY2,Spring,FRY (MI),1,0.950434224,320
FRY1,FRY3,Spring,FRY (MI),0.98245614,0.942005865,615
FRY1,FRY4,Spring,FRY (MI),0.98245614,0.913852051,940
FRY1,FRY5,Spring,FRY (MI),0.98245614,0.917238028,1305
FRY1,FRY6,Spring,FRY (MI),1,0.909130621,1755
FRY1,FRY7,Spring,FRY (MI),1,0.904006574,2095
FRY1,FRY8,Spring,FRY (MI),1,0.884863006,2425
FRY1,FRY9,Spring,FRY (MI),1,0.792359505,2785
FRY2,FRY1,Spring,FRY (MI),1,0.950434224,320
FRY2,FRY3,Spring,FRY (MI),0.98245614,0.942095425,295
FRY2,FRY4,Spring,FRY (MI),0.98245614,0.901346904,620
FRY2,FRY5,Spring,FRY (MI),0.98245614,0.928895938,985
FRY2,FRY6,Spring,FRY (MI),1,0.916223089,1435
FRY2,FRY7,Spring,FRY (MI),1,0.89059891,1775
FRY2,FRY8,Spring,FRY (MI),1,0.903326298,2105
FRY2,FRY9,Spring,FRY (MI),1,0.827985144,2465
FRY3,FRY2,Spring,FRY (MI),0.98245614,0.942095425,295
FRY3,FRY4,Spring,FRY (MI),1,0.900607734,325
FRY3,FRY5,Spring,FRY (MI),1,0.915899064,690
FRY3,FRY6,Spring,FRY (MI),0.98245614,0.898782555,1140
FRY3,FRY7,Spring,FRY (MI),0.98245614,0.87489829,1480
FRY3,FRY8,Spring,FRY (MI),0.98245614,0.871990507,1810
FRY3,FRY9,Spring,FRY (MI),0.98245614,0.788246856,2170
FRY4,FRY3,Spring,FRY (MI),1,0.900607734,325
FRY4,FRY5,Spring,FRY (MI),1,0.922557531,365
FRY4,FRY6,Spring,FRY (MI),0.98245614,0.936250021,815
