Stream,Stream_Type,dist.d,Site,Season,Hshannon.mac,rich,rich.E,rich.EPT,pEPT.less.H,pEPT,pE,rich.E.less.B,pE.less.B,pP,pP.less.Amph,pT,pPT.H,pChi,pD,pChiO,p1dom,p5dom,rich.SC,pPR,rich.Cling,pCling,pSprawl,pSwimm,ph,temp.C,sc.uScm,no2no3.n.mgl,npoc.mgl,na.mgl,ca.mgl,fe.ugl,ni.ugl,as.ugl,se.ugl,ba.ugl,u.ugl,ca.mg,pfines,D16,D90,Hsimpson.peb,avgwetwidth,avgembedd,avgvegprotecL,avgvegprotecR,avg.slope
SPC (MI),Mining Influenced 4,2556,SPC1,Fall,2.531279107,26,5,18,39.51219512,83.90243902,8.8,4,8.3,21,21,54.1,30.7,3.9,5.4,4.390243902,19.5,65.9,8,10.7,19,91.2,1,1.5,8.57,12.5,501,0.12,1.25,62.21,41.53,7.05,0.52,0.32,1.41,70.6,0.23,2.75397878,8.602150538,8,180,0.893976182,2.333333333,10.66666667,9,9,3.5
SPC (MI),Mining Influenced 4,2167,SPC2,Fall,2.942515995,31,5,19,44.74885845,70.77625571,17.4,4,15.1,9.1,9.1,44.3,27.4,6.8,11.4,7.305936073,18.3,61.6,8,14.2,22,83.1,5,2.3,8.09,12.6,516,0.11,1.28,61.65,46.63,21.64,0.55,0.41,2.63,76.29,0.28,2.777248362,7.692307692,5.6,128,0.896510083,3.95,11,8.666666667,10,3
SPC (MI),Mining Influenced 4,1793,SPC3,Fall,2.795458202,31,6,20,38.88888889,74.74747475,12.1,4,9.6,10.6,10.6,52,26.8,1.5,12.6,2.525252525,20.2,68.2,8,17.2,21,80.8,4,2.5,8.06,12.9,535,0.11,1.33,41.07,57.81,10.21,0.76,0.15,0.99,63.95,0.3,2.692594318,4.807692308,6.752,128,0.905695266,3.683333333,13.66666667,10,9.666666667,1.25
SPC (MI),Mining Influenced 4,1294,SPC4,Fall,2.697437358,32,5,19,37.71929825,78.07017544,16.2,4,13.2,12.3,12.3,49.6,21.5,6.1,7.5,7.456140351,17.5,59.2,10,6.6,21,85.1,3.5,3.1,7.61,14.2,579,0.08,1.35,41.85,60.66,18.04,1.25,0.16,0.41,63.54,0.35,2.567075751,8.695652174,8,180,0.896786389,2.633333333,12.66666667,9.666666667,9.666666667,1.75
SPC (MI),Mining Influenced 4,925,SPC5,Fall,2.976408369,32,5,22,50.24154589,79.22705314,19.8,3,9.2,13,13,46.4,30.4,6.3,10.1,6.280193237,19.3,65.2,6,13.5,22,76.3,2.4,11.1,7.9,15.4,610,0.12,1.33,40.29,66.1,13.3,1.33,0.03,0.85,61.49,0.39,2.440915805,4.06504065,9.56,180,0.89999339,2.1,16.66666667,10,10,2.25
SPC (MI),Mining Influenced 4,150,SPC7,Fall,2.858426935,32,5,18,36.58536585,72.19512195,8.8,3,7.3,11.2,11.2,52.2,27.8,5.4,9.8,5.853658537,19.5,65.9,7,13.2,23,86.3,1.5,1.5,7.95,16,709,0.16,1.47,59.03,71.33,0.285,0.93,0.1,1.25,70.93,0.59,2.432810368,7.619047619,5.6,180,0.917913832,1.65,10.33333333,9.666666667,9,2.25
SPC (MI),Mining Influenced 4,0,SPC8,Fall,2.828832265,34,6,21,43.38624339,72.48677249,7.4,4,6.3,27.5,27.5,37.6,36,5.8,13.2,7.407407407,21.2,71.4,9,8.5,22,82,3.2,2.1,7.81,15.5,756,0.16,1.5,65.7,75.08,14.8,1.46,0.12,1.25,70.31,0.61,2.366960908,7.03125,11,64,0.868408203,2,12.33333333,10,9,0.5
CRO (R),Reference 1,2050,CRO1,Spring,3.014653261,38,12,24,52.85714286,60,35.7,8,32.4,13.3,10.5,11,17.1,17.1,25.7,20,19,64.3,11,20,21,58.1,3.8,9,7.57,8.6,51,0.08,1.14,1.95,3.77,0.285,0.18,0.001,0.075,18.97,0.02,1.923469388,9.708737864,4.512,180,0.903949477,1.2,8,10,9,2.75
CRO (R),Reference 1,1900,CRO2,Spring,3.028611234,39,8,23,46.56862745,53.92156863,26.5,7,24.5,14.7,12.7,12.7,20.1,25.5,33.8,29.41176471,19.6,66.2,9,17.2,24,53.4,3.4,5.4,7.65,8.8,54,0.08,1.12,1.91,3.76,0.285,0.16,0.001,0.075,19.05,0.02,1.968586387,8.849557522,8,180,0.904534419,1.266666667,8.333333333,10,10,3.5
CRO (R),Reference 1,1530,CRO3,Spring,3.022319818,36,9,23,47.42268041,51.03092784,20.6,7,18,19.6,16,10.8,26.8,21.6,36.6,22.16494845,20.6,69.6,11,24.2,24,54.6,6.2,4.1,7.51,8.9,55,0.09,1.1,1.92,3.82,0.285,0.17,0.001,0.075,19.67,0.01,1.979274611,19.41747573,2,180,0.885851635,1.65,12.33333333,10,10,3
CRO (R),Reference 1,1160,CRO4,Spring,3.246097958,39,9,24,62.55924171,68.72037915,30.3,7,26.1,21.8,15.6,16.6,32.2,11.8,21.8,12.32227488,19,64,10,18.5,25,61.1,7.6,12.3,7.54,9.8,55,0.09,1.01,1.96,3.95,2.84,0.16,0.001,0.075,18.58,0.01,2.025641026,13.04347826,4.896,128,0.908553875,0.883333333,18.33333333,10,10,2.5
CRO (R),Reference 1,775,CRO5,Spring,3.077490858,42,12,23,58.41121495,58.41121495,35.5,10,31.8,14,9.8,8.9,22.9,20.1,30.8,21.96261682,18.7,63.1,12,17.8,24,41.6,5.6,22,7.26,10.2,53,0.07,1.18,1.84,4.85,23.59,0.21,0.001,0.075,21.85,0.01,2.287735849,10.86956522,5.6,90,0.900283554,1.316666667,13.33333333,10,10,0.83
CRO (R),Reference 1,340,CRO6,Spring,2.852441144,37,9,19,57.20720721,57.20720721,28.4,7,24.8,23.4,16.7,5.4,28.8,24.8,35.1,26.57657658,18,60.8,6,14.4,17,38.7,9.5,14.9,7.15,10.4,50,0.11,1.21,1.88,3.4,41.04,0.26,0.001,0.075,18.06,0.01,1.965317919,14.61538462,4,32,0.882011834,0.766666667,5.666666667,10,10,1
CRO (R),Reference 1,0,CRO7,Spring,2.991073681,33,10,21,74.56896552,75.43103448,35.8,7,24.6,34.1,29.7,5.6,38.8,15.1,18.5,15.94827586,17.2,58.2,9,10.8,19,56,5.2,20.7,7.09,9.8,43,0.23,0.79,1.59,2.51,6.78,0.13,0.001,0.075,14.4,0.01,1.731034483,12.08791209,2.8,90,0.913174737,1.083333333,8,10,10,2.5
EAS (R),Reference 2,2500,EAS1,Spring,2.606041172,27,8,17,57.5,64.5,25.5,6,24,30,21,9,32,23,26,25.5,20,67.5,8,5.5,18,60.5,9,2,8.02,9.2,21,0.13,0.43,0.48,2.14,0.285,0.1,0.001,0.075,9.85,0.01,4.652173913,0,16,180,0.872164461,2.166666667,14.33333333,9.333333333,8,5
EAS (R),Reference 2,2140,EAS2,Spring,2.850654911,31,8,22,63.97849462,70.43010753,40.9,7,39.8,20.4,18.3,9.1,23.1,14,17.2,15.05376344,21.5,72.6,10,9.7,22,75.8,3.2,4.3,7.5,9.3,22,0.17,0.42,0.48,2.48,0.285,0.07,0.001,0.075,9.55,0.02,5.276595745,6.097560976,16,180,0.885187388,1.276666667,14.33333333,10,10,5.5
EAS (R),Reference 2,1890,EAS3,Spring,2.829962938,28,9,19,56.33802817,62.44131455,41.8,7,39,12.7,10.8,8,14.6,17.8,21.1,18.30985915,18.8,63.4,8,8.9,17,70,2.3,8,7.42,9.5,18,0.17,0.51,0.48,1.78,0.285,0.07,0.001,0.075,8.86,0.01,4.045454545,4.545454545,11,180,0.885674931,2.66,15.33333333,10,10,5.25
EAS (R),Reference 2,1565,EAS4,Spring,2.974668384,32,10,25,68.2464455,72.98578199,40.3,8,35.1,24.6,20.9,8.1,28,16.6,17.5,17.53554502,19,64,9,6.6,24,68.7,4.3,9.5,7.14,9.6,17,0.2,0.51,0.47,1.53,0.285,0.09,0.001,0.075,8.86,0.01,3.731707317,4.504504505,11,128,0.895544193,1.366666667,15.33333333,10,10,8
EAS (R),Reference 2,1240,EAS5,Spring,2.800307043,27,8,21,64.11483254,72.72727273,37.3,6,30.6,24.9,20.6,10.5,26.8,18.7,21.1,19.13875598,19.1,64.6,6,6.2,18,61.7,4.3,12.4,7.01,9.8,16,0.19,0.55,0.48,1.4,0.285,0.11,0.001,0.075,8.84,5.00E-04,3.58974359,9.411764706,8,180,0.891349481,1.126666667,16.66666667,10,10,9.5
EAS (R),Reference 2,1000,EAS6,Spring,2.969439881,33,9,23,60.09852217,67.98029557,35,7,29.1,23.2,21.7,9.9,25.1,17.7,19.7,18.22660099,19.7,66.5,10,4.9,22,64,2.5,12.8,7.02,9.8,15,0.2,0.66,0.48,1.33,0.285,0.12,0.001,0.075,8.63,5.00E-04,3.5,9.85915493,11,180,0.88831581,1.6,16,10,10,12.83
EAS (R),Reference 2,715,EAS7,Spring,3.00914166,32,7,21,61.53846154,70.19230769,15.9,4,10.6,41.8,37.5,12.5,45.7,11.1,13.9,12.98076923,19.2,64.9,8,9.6,20,70.7,4.8,8.2,6.57,10,14,0.25,0.51,0.46,1.14,0.285,0.11,0.001,0.075,8.15,5.00E-04,3,13.92405063,5.6,128,0.903060407,1.49,14.33333333,10,10,14.5
EAS (R),Reference 2,385,EAS8,Spring,2.924784187,30,7,18,59.70149254,70.64676617,19.9,5,12.9,39.3,35.8,11.4,39.8,12.9,17.9,14.4278607,19.9,67.2,9,6,17,67.7,5.5,7,6.45,10.3,14,0.32,0.64,0.52,0.99,0.285,0.14,0.001,0.075,8.44,5.00E-04,2.475,15.78947368,2.848,180,0.882437673,1.533333333,8,10,10,14
EAS (R),Reference 2,0,EAS9,Spring,2.457055421,27,7,18,72.54901961,72.54901961,6.9,6,5.4,63.7,52.5,2,65.7,18.6,21.1,20.09803922,19.6,66.2,7,6.9,16,62.3,11.8,2.9,6.2,9.3,14,0.41,0.54,0.49,0.95,0.285,0.15,0.001,0.075,9.34,5.00E-04,2.375,24,2,180,0.8624,0,0.333333333,10,10,27
