Stream,Site,sample.year,season,do.mgl,ph,temp.C,sc.uScm,ac.uScm,alkalinity.mgl,hardness.mgl,tn.mgl,tp.mgl,nh3-n.mgl,no2no3-n.mgl,ortho.po4-p.mgl,npoc.mgl,cl.mgl,so4.mgl,co3.mgl,hco3.mgl,na.mgl,mg.mgl,k.mgl,ca.mgl,li.ugl,al.ugl,ti.ugl,v.ugl,cr.ugl,fe.ugl,mn.ugl,co.ugl,ni.ugl,cu.ugl,zn.ugl,as.ugl,se.ugl,sr.ugl,mo.ugl,ag.ugl,cd.ugl,sn.ugl,ba.ugl,pb.ugl,u.ugl,ca.mg,so4.hco3
SPC (MI),SPC1,2021,Fall,9.5,8.57,12.5,501,382,171,165.6,0.25,0.04,0.02,0.12,0.03,1.25,5.21,95.69,0,208.57,62.21,15.08,2.15,41.53,21.07,4.98,0.3,0.11,0.09,7.05,2.52,0.06,0.52,0.025,3.6,0.32,1.41,410.89,0.001,0.001,0.005,0.01,70.6,0.002,0.23,2.75397878,0.458790814
SPC (MI),SPC2,2021,Fall,8.8,8.09,12.6,516,394,170.9,185.4,0.3,0.04,0.02,0.11,0.02,1.28,5.32,104.72,0,208.55,61.65,16.79,2.3,46.63,24.02,4.43,0.45,0.2,0.14,21.64,39.14,0.12,0.55,0.025,4.14,0.41,2.63,467.98,0.23,0.02,0.02,0.01,76.29,0.002,0.28,2.777248362,0.502133781
SPC (MI),SPC3,2021,Fall,9.1,8.06,12.9,535,412,143.9,232.5,0.23,0.005,0.005,0.11,0.005,1.33,5.84,138.55,0,175.53,41.07,21.47,2.69,57.81,25.6,3.54,0.29,0.07,0.11,10.21,30.93,0.13,0.76,0.05,4.69,0.15,0.99,590.9,0.001,0.001,0.005,0.01,63.95,0.002,0.3,2.692594318,0.789323762
SPC (MI),SPC4,2021,Fall,9.1,7.61,14.2,579,460,145.5,248.6,0.31,0.01,0.02,0.08,0.005,1.35,6.22,160.58,0,177.51,41.85,23.63,2.81,60.66,31.36,4,0.27,0.05,0.07,18.04,87.2,0.18,1.25,0.09,24.94,0.16,0.41,677.38,0.001,0.001,0.005,0.01,63.54,0.002,0.35,2.567075751,0.904625092
SPC (MI),SPC5,2021,Fall,9.3,7.9,15.4,610,499,137.1,276.3,0.25,0.005,0.01,0.12,0.005,1.33,7.09,184.13,0,167.29,40.29,27.08,3.19,66.1,38.73,5.95,0.26,0.06,0.07,13.3,42.75,0.14,1.33,0.17,8.32,0.03,0.85,797.07,0.001,0.001,0.005,0.01,61.49,0.002,0.39,2.440915805,1.100663518
SPC (MI),SPC6,2021,Fall,8.8,7.61,15.2,641,522,,,,,,,,1.43,7.73,201.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC (MI),SPC7,2021,Fall,7.5,7.95,16,709,587,172.7,298.5,0.43,0.005,0.01,0.16,0.005,1.47,7.64,207.56,0,210.74,59.03,29.32,3.24,71.33,46.85,4.72,0.27,0.08,0.11,0.285,29.06,0.12,0.93,0.23,13.86,0.1,1.25,951.59,0.001,0.001,0.005,0.01,70.93,0.002,0.59,2.432810368,0.984910316
SPC (MI),SPC8,2021,Fall,6.9,7.81,15.5,756,620,182,317.8,0.34,0.005,0.04,0.16,0.005,1.5,8.07,227.44,0,221.99,65.7,31.72,3.38,75.08,54.65,4.25,0.31,0.07,0.11,14.8,129.44,0.22,1.46,0.4,16,0.12,1.25,1039.06,0.001,0.001,0.005,0.01,70.31,0.002,0.61,2.366960908,1.024550655
CRO (R),CRO1,2022,Spring,11.5,7.57,8.6,51,35,12.8,17.5,0.24,0.01,0.005,0.08,0.005,1.14,1.83,9.57,0,15.6,1.95,1.96,1.14,3.77,0.52,2.99,0.5,0.08,0.04,0.285,1.09,0.02,0.18,0.3,19.5,0.001,0.075,24.43,0.001,0.02,0.005,0.01,18.97,0.002,0.02,1.923469388,0.613461538
CRO (R),CRO2,2022,Spring,11.3,7.65,8.8,54,38,13.2,17.2,0.18,0.03,0.005,0.08,0.005,1.12,1.87,9.56,0,16.15,1.91,1.91,1.11,3.76,0.49,2.71,0.41,0.06,0.02,0.285,0.79,0.02,0.16,0.25,6.94,0.001,0.075,24.22,0.001,0.01,0.005,0.01,19.05,0.002,0.02,1.968586387,0.591950464
